,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,diff,coverted_usd
10054,U001,200762301,C&S WH in,,2020.0,1930723688.0,2020-03-31,2020-04-15,2020-03-31,NAC6,equal,10816.239
10060,U001,0200769623,WAL-MAR in,,2020.0,1930749608.0,2020-04-05,2020-04-20,2020-04-05,NAH4,not equal,1254.862
10061,U001,0200780383,MEIJ us,,2020.0,1930664890.0,2020-03-17,2020-04-01,2020-03-17,NAA8,not equal,62580.217
10063,U001,0100030964,NATURA corp,,2020.0,1930642801.0,2020-03-12,2020-03-27,2020-03-12,NAA8,equal,17657.64
10064,U001,0200785971,SYSCO  associates,,2020.0,1930844390.0,2020-05-01,2020-05-16,2020-05-01,NAA8,not equal,2104.0179999999996
10067,U001,0200132251,SUPERB llc,,2020.0,1930833419.0,2020-05-01,2020-05-16,2020-05-01,NAA8,not equal,86.30999999999999
10068,U001,200229974,DARDEN D co,,2020.0,1930645110.0,2020-03-24,2020-04-08,2020-03-24,NAA8,not equal,11976.733999999999
10069,U001,0200762301,C&S WH ,,2020.0,1930653639.0,2020-03-16,2020-05-20,2020-03-16,NAGD,not equal,537.383
10070,U001,0200769623,WAL-MAR foundation,,2020.0,1930714863.0,2020-03-30,2020-04-14,2020-03-30,NAH4,not equal,34225.506
10073,U001,0200741174,M B  us,,2020.0,1930768607.0,2020-04-09,2020-04-24,2020-04-09,NAA8,equal,13943.363
10078,U001,200726979,BJ'S  co,,2020.0,1930655662.0,2020-03-18,2020-04-02,2020-03-18,NAA8,not equal,6455.967
10085,U001,0200769623,WAL-MAR in,,2020.0,1930624877.0,2020-03-10,2020-03-25,2020-03-10,NAH4,not equal,9884.336
10091,U001,0200762301,C&S WH systems,,2020.0,1930800605.0,2020-04-19,2020-05-04,2020-04-19,NAC6,not equal,46934.78999999999
10093,U001,0200759878,SA us,,2020.0,1930667391.0,2020-03-19,2020-04-03,2020-03-19,NAH4,not equal,16767.918999999998
10095,U001,0200769623,WAL-MAR in,,2020.0,1930773416.0,2020-04-10,2020-04-25,2020-04-10,NAH4,equal,3250.828
10099,U001,0200769623,WAL-MAR us,,2020.0,1930585851.0,2020-03-02,2020-03-17,2020-03-02,NAH4,not equal,44775.206
10105,U001,0200769623,WAL-MAR co,,2020.0,1930842372.0,2020-05-01,2020-05-16,2020-05-01,NAH4,not equal,6615.931
10106,U001,0200726979,BJ'S  in,,2020.0,1930592847.0,2020-03-06,2020-03-21,2020-03-06,NAA8,not equal,6455.967
10107,U001,0200416837,DEC llc,,2020.0,1930812604.0,2020-04-22,2020-04-26,2020-04-16,NAM2,not equal,8550.905999999999
10116,U001,0200723794,MID MO corporation,,2020.0,1930623165.0,2020-03-10,2020-03-25,2020-03-10,NAA8,not equal,66253.348
10117,U001,0200353024,DECA systems,,2020.0,1930813160.0,2020-04-22,2020-05-09,2020-04-16,NAM4,not equal,623.462
10118,U001,0200790107,ROU us,,2020.0,1930690821.0,2020-03-23,2020-04-07,2020-03-23,NAC6,not equal,31821.964999999997
10119,U001,200769623,WAL-MAR foundation,,2020.0,1930885428.0,2020-05-11,2020-05-26,2020-05-11,NAH4,equal,4782.897
10132,U001,0100001196,DOLLAR trust,,2020.0,1930857501.0,2020-05-05,2020-05-20,2020-05-05,NAA8,not equal,6814.611999999999
10144,U001,0200592182,DECA systems,,2020.0,1930837992.0,2020-04-29,2020-05-09,2020-04-16,NAM4,not equal,1646.3719999999998
10148,U001,0200769623,WAL-MAR in,,2020.0,1930793324.0,2020-04-17,2020-05-02,2020-04-17,NAH4,not equal,22646.624
10151,U001,200769623,WAL-MAR foundation,,2020.0,1930766061.0,2020-04-09,2020-04-24,2020-04-09,NAH4,not equal,4937.758
10167,U001,0200014556,ALBER llc,,2020.0,1930685891.0,2020-03-24,2020-04-08,2020-03-24,NAA8,not equal,37934.01499999999
10171,U001,0200769623,WAL-MAR co,,2020.0,1930605684.0,2020-03-06,2020-03-21,2020-03-06,NAH4,not equal,183.85499999999996
10172,U001,200769623,WAL-MAR in,,2020.0,1930882417.0,2020-05-09,2020-05-24,2020-05-09,NAH4,equal,1278.844
10184,U001,0200794332,COST foundation,,2020.0,1930635240.0,2020-03-12,2020-03-27,2020-03-12,NAAX,not equal,11807.795999999998
10185,U001,0200769623,WAL-MAR llc,,2020.0,1930746786.0,2020-04-06,2020-04-21,2020-04-06,NAH4,not equal,14552.502999999999
10190,U001,0200707822,PUBLI co,,2020.0,1930760578.0,2020-04-07,2020-04-22,2020-04-07,NAA8,not equal,72380.78399999999
10193,CA02,0140104429,COSTCO corporation,,2020.0,2960627512.0,2020-04-07,2020-04-19,2020-04-09,CA10,not equal,1781.563
10196,U001,0200783609,PROFIC corp,,2020.0,1930638061.0,2020-03-17,2020-04-18,2020-03-17,NA32,not equal,11270.98
10203,U001,0200769623,WAL-MAR associates,,2020.0,1930847213.0,2020-05-04,2020-05-19,2020-05-04,NAH4,not equal,13560.581999999999
10218,U001,0200592182,DECA associates,,2020.0,1930690492.0,2020-03-25,2020-04-08,2020-03-16,NAM4,not equal,23.268
10220,U001,0200148860,DOLLA associates,,2020.0,1930718522.0,2020-03-30,2020-04-14,2020-03-30,NAA8,not equal,47727.168999999994
10222,U001,0200769623,WAL-MAR systems,,2020.0,1930805276.0,2020-04-20,2020-05-05,2020-04-20,NAH4,not equal,39828.698
10224,U001,0200726979,BJ'S  corporation,,2020.0,1930682257.0,2020-03-21,2020-04-05,2020-03-21,NAA8,equal,270.54999999999995
10225,CA02,140104423,METRO  us,,2020.0,2960626060.0,2020-04-06,2020-04-18,2020-04-08,CA10,not equal,14175.069999999998
10226,U001,0100036039,GI trust,,2020.0,1930724134.0,2020-03-31,2020-04-15,2020-03-31,NAA8,equal,25507.601
10238,U001,0200980828,BEN E corporation,,2020.0,1930676228.0,2020-03-20,2020-04-09,2020-03-20,NAD1,equal,63913.98999999999
10254,U001,0200769623,WAL-MAR in,,2020.0,1930778655.0,2020-04-12,2020-04-27,2020-04-12,NAH4,not equal,6308.266999999999
10256,U001,0200712105,WALG corporation,,2020.0,1930598769.0,2020-03-03,2020-05-07,2020-03-03,NAGD,not equal,5419.008
10270,U001,0200744019,TARG ,,2020.0,1930703258.0,2020-03-26,2020-04-10,2020-03-26,NAA8,not equal,5868.352
10272,U001,0200726979,BJ'S  associates,,2020.0,1930780727.0,2020-04-07,2020-04-22,2020-04-07,NAA8,not equal,649.88
10282,U001,200729290,KROGER in,,2020.0,1930746904.0,2020-04-05,2020-04-20,2020-04-05,NAA8,not equal,19840.667
10284,U001,0200726979,BJ'S  systems,,2020.0,1930611719.0,2020-03-06,2020-03-21,2020-03-06,NAA8,equal,475.783
10287,U001,0200726979,BJ'S  ,,2020.0,1930702237.0,2020-03-27,2020-04-11,2020-03-27,NAA8,not equal,109392.86399999999
10294,U001,0200769623,WAL-MAR associates,,2020.0,1930660736.0,2020-03-18,2020-04-02,2020-03-18,NAH4,not equal,360.44399999999996
10297,U001,0200315290,KWI associates,,2020.0,1930814457.0,2020-04-22,2020-05-07,2020-04-22,NAA8,equal,42131.131
10299,U001,0100014724,DEC foundation,,2020.0,1930809813.0,2020-04-21,2020-05-09,2020-04-16,NAM4,not equal,44381.21799999999
10305,U001,0200705089,JETR corporation,,2020.0,1930627590.0,2020-03-10,2020-05-14,2020-03-10,NAGD,not equal,625.947
10313,U001,0200706844,WINC systems,,2020.0,1930571336.0,2020-02-27,2020-03-13,2020-02-27,NAA8,not equal,5794.495
10314,U001,0200769623,WAL-MAR corp,,2020.0,1930736109.0,2020-04-03,2020-04-18,2020-04-03,NAH4,not equal,4029.739
10320,U001,0200707822,PUBLI us,,2020.0,1930850978.0,2020-05-02,2020-05-17,2020-05-02,NAA8,equal,70500.465
10324,U001,0200726979,BJ'S  corp,,2020.0,1930730478.0,2020-04-01,2020-04-16,2020-04-01,NAA8,equal,561.078
10326,U001,0200353024,DECA us,,2020.0,1930876820.0,2020-05-07,2020-05-24,2020-05-01,NAM4,not equal,1374.086
10327,U001,0200706844,WINC trust,,2020.0,1930720700.0,2020-04-01,2020-04-16,2020-04-01,NAA8,not equal,34501.075
10328,U001,0200712105,WALG ,,2020.0,1930759500.0,2020-04-07,2020-04-22,2020-04-07,NAA8,equal,52417.301999999996
10341,U001,0200705742,DOT foundation,,2020.0,1930587197.0,2020-03-02,2020-04-05,2020-03-02,NAAW,equal,13153.616
10343,U001,0100008001,ANHA us,,2020.0,1930661276.0,2020-03-23,2020-04-07,2020-03-23,NAA8,not equal,4674.432
10345,U001,0200749782,KROG trust,,2020.0,1930818516.0,2020-04-23,2020-05-08,2020-04-23,NAA8,equal,45192.0
10349,U001,0200708511,UPPER corporation,,2020.0,1930642580.0,2020-03-12,2020-03-27,2020-03-12,NAA8,equal,28629.587
10356,U001,0200794332,COST associates,,2020.0,1930635470.0,2020-03-12,2020-03-27,2020-03-12,NAAX,not equal,22178.400999999998
10362,U001,0200762301,C&S WH ,,2020.0,1930770855.0,2020-04-10,2020-04-25,2020-04-10,NAC6,not equal,54502.168
10372,U001,0200739006,AL in,,2020.0,1930780122.0,2020-04-13,2020-04-28,2020-04-13,NAA8,not equal,37464.13999999999
10374,U001,0200755701,ASSOCI systems,,2020.0,1930760133.0,2020-04-09,2020-04-24,2020-04-09,NAA8,not equal,16031.259999999998
10394,CA02,0140104225,SAVE-ON- trust,,2020.0,2960631615.0,2020-04-28,2020-05-09,2020-04-29,CA10,not equal,57086.833999999995
10397,U001,0200762301,C&S WH systems,,2020.0,1930717575.0,2020-03-30,2020-04-14,2020-03-30,NAC6,not equal,30410.687999999995
10398,U001,0200148860,DOLLA associates,,2020.0,1930691223.0,2020-03-24,2020-04-08,2020-03-24,NAA8,equal,11408.999
10410,U001,0200769623,WAL-MAR associates,,2020.0,1930612503.0,2020-03-07,2020-03-22,2020-03-07,NAH4,not equal,7551.459999999999
10419,CA02,0140104409,LOB corp,,2020.0,2960622770.0,2020-03-21,2020-04-03,2020-03-24,CA10,not equal,121712.88499999998
10434,U001,0200881076,ALBERT associates,,2020.0,1930642144.0,2020-03-12,2020-03-27,2020-03-12,NAA8,equal,52289.874
10436,U001,0200769623,WAL-MAR in,,2020.0,1930585620.0,2020-03-02,2020-03-17,2020-03-02,NAH4,not equal,23885.974
10442,U001,200762301,C&S WH ,,2020.0,1930655514.0,2020-03-17,2020-05-21,2020-03-17,NAGD,not equal,16993.934999999998
10443,U001,0200744019,TARG in,,2020.0,1930633796.0,2020-03-10,2020-03-25,2020-03-10,NAA8,equal,26949.439999999995
10452,U001,0200780383,MEIJ corp,,2020.0,1930713411.0,2020-03-28,2020-04-12,2020-03-28,NAA8,not equal,77805.08399999999
10456,U001,0200726979,BJ'S  corp,,2020.0,1930607562.0,2020-03-06,2020-03-21,2020-03-06,NAA8,not equal,125.454
10471,U001,0200769623,WAL-MAR foundation,,2020.0,1930776556.0,2020-04-10,2020-04-25,2020-04-10,NAH4,not equal,9145.64
10472,U001,0200769623,WAL-MAR foundation,,2020.0,1930780825.0,2020-04-14,2020-04-29,2020-04-14,NAH4,not equal,30.526999999999997
10474,CA02,0140104472,MARTIN corporation,,2020.0,2960631769.0,2020-05-01,2020-05-16,2020-05-06,CA10,not equal,1153.1519999999998
10475,U001,0200769623,WAL-MAR ,,2020.0,1930582845.0,2020-03-01,2020-03-16,2020-03-01,NAH4,not equal,502.43199999999996
10479,U001,0100001196,DOLLAR ,,2020.0,1930652692.0,2020-03-15,2020-03-30,2020-03-15,NAA8,not equal,25238.072999999997
10482,CA02,0140104729,ALIME corp,,2020.0,2960618048.0,2020-03-09,2020-03-21,2020-03-11,CA10,not equal,3742.2
10492,U001,0200803720,DEC co,,2020.0,1930872368.0,2020-05-07,2020-05-24,2020-05-01,NAM4,not equal,122.30399999999999
10494,U001,0200418007,AM systems,,2020.0,1930800693.0,2020-04-21,2020-05-06,2020-04-21,NAA8,not equal,13670.607999999998
10498,U001,0200769623,WAL-MAR ,,2020.0,1930802298.0,2020-04-19,2020-05-04,2020-04-19,NAH4,not equal,25426.400999999998
10501,U001,0200769623,WAL-MAR associates,,2020.0,1930689842.0,2020-03-24,2020-04-08,2020-03-24,NAH4,not equal,21749.699999999997
10505,U001,0200466603,SMITH'S foundation,,2020.0,1930832432.0,2020-04-28,2020-05-13,2020-04-28,NAA8,equal,108612.371
10508,CA02,0140104440,SO corporation,,2020.0,2960627462.0,2020-04-12,2020-04-25,2020-04-15,CA10,not equal,176379.819
10509,U001,200780383,MEIJ in,,2020.0,1930868341.0,2020-05-05,2020-05-20,2020-05-05,NAA8,not equal,22678.411
10529,U001,0200762301,C&S WH corp,,2020.0,1930796760.0,2020-04-17,2020-05-02,2020-04-17,NAC6,not equal,27686.834
10534,U001,0200759878,SA trust,,2020.0,1930644372.0,2020-03-13,2020-03-28,2020-03-13,NAH4,not equal,8508.346
10541,U001,0200769623,WAL-MAR corporation,,2020.0,1930585279.0,2020-03-02,2020-03-17,2020-03-02,NAH4,not equal,39369.246
10544,U001,0200792293,UNIFIE foundation,,2020.0,1930832775.0,2020-04-28,2020-05-13,2020-04-28,NAA8,equal,35639.225999999995
10552,U001,200744019,TARG co,,2020.0,1930834005.0,2020-04-29,2020-05-14,2020-04-29,NAA8,not equal,2171.89
10555,U001,0200759878,SA associates,,2020.0,1930638684.0,2020-03-13,2020-03-28,2020-03-13,NAH4,not equal,10503.703
10561,U001,0200769623,WAL-MAR corp,,2020.0,1930797397.0,2020-04-19,2020-05-04,2020-04-19,NAH4,not equal,19399.470999999998
10578,U001,0200762301,C&S WH systems,,2020.0,1930571169.0,2020-02-27,2020-03-13,2020-02-27,NAC6,not equal,6766.452
10580,U001,0200770677,KRAS llc,,2020.0,1930730912.0,2020-04-03,2020-04-18,2020-04-03,NAA8,not equal,28328.384000000002
10587,CA02,140105847,GORDON F corp,,2020.0,2960632014.0,2020-04-30,2020-05-17,2020-05-07,CA10,not equal,1209.6
10589,U001,0200769623,WAL-MAR co,,2020.0,1930785374.0,2020-04-14,2020-04-29,2020-04-14,NAH4,equal,24147.899999999998
10597,U001,0200769623,WAL-MAR llc,,2020.0,1930794303.0,2020-04-16,2020-05-01,2020-04-16,NAH4,equal,19467.532
10599,U001,0200769623,WAL-MAR us,,2020.0,1930803100.0,2020-04-19,2020-05-04,2020-04-19,NAH4,not equal,1329.23
10601,U001,0200772595,SAFEW corp,,2020.0,1930713245.0,2020-04-01,2020-04-16,2020-04-01,NAA8,not equal,34433.748999999996
10604,U001,200744019,TARG in,,2020.0,1930859174.0,2020-05-06,2020-05-21,2020-05-06,NAA8,not equal,12234.831
10607,U001,0200900212,CASEY trust,,2020.0,1930816239.0,2020-04-22,2020-05-07,2020-04-22,NAA8,equal,6006.643999999999
10608,U001,0200744019,TARG corp,,2020.0,1930654235.0,2020-03-17,2020-04-01,2020-03-17,NAA8,not equal,10964.386999999999
10613,CA02,0140104440,SO corp,,2020.0,2960621658.0,2020-03-17,2020-03-28,2020-03-18,CA10,not equal,45561.208
10617,U001,0200727278,BLOU llc,,2020.0,1930739544.0,2020-04-06,2020-04-21,2020-04-06,NAA8,not equal,55279.66499999999
10623,U001,0200769623,WAL-MAR us,,2020.0,1930774766.0,2020-04-13,2020-04-28,2020-04-13,NAH4,not equal,2725.611
10624,U001,0200769623,WAL-MAR ,,2020.0,1930716474.0,2020-03-29,2020-04-13,2020-03-29,NAH4,not equal,27897.492
10625,U001,0200793513,KROGER ,,2020.0,1930796444.0,2020-04-17,2020-05-02,2020-04-17,NAA8,not equal,15990.863
10635,U001,0200707741,SMART &  foundation,,2020.0,1930637161.0,2020-03-11,2020-03-26,2020-03-11,NAA8,equal,20667.584
10639,U001,0200769623,WAL-MAR ,,2020.0,1930844787.0,2020-05-01,2020-05-16,2020-05-01,NAH4,equal,6861.847999999999
10645,U001,200148860,DOLLA systems,,2020.0,1930711247.0,2020-03-29,2020-04-13,2020-03-29,NAA8,not equal,60613.847
10650,CA02,0140104225,SAVE-ON- trust,,2020.0,2960620361.0,2020-03-12,2020-03-23,2020-03-13,CA10,not equal,75383.12599999999
10651,U001,200769623,WAL-MAR trust,,2020.0,1930893129.0,2020-05-12,2020-05-27,2020-05-12,NAH4,equal,18313.945999999996
10653,U001,0200769623,WAL-MAR foundation,,2020.0,1930705866.0,2020-03-26,2020-04-10,2020-03-26,NAH4,equal,16004.876999999999
10662,U001,0200744019,TARG associates,,2020.0,1930825929.0,2020-04-25,2020-05-10,2020-04-25,NAA8,not equal,17841.138
10663,U001,0200707822,PUBLI corp,,2020.0,1930763820.0,2020-04-07,2020-04-22,2020-04-07,NAA8,not equal,8301.796999999999
10665,U001,0200769623,WAL-MAR llc,,2020.0,1930826946.0,2020-04-26,2020-05-11,2020-04-26,NAH4,not equal,25602.619
10668,U001,0200769623,WAL-MAR co,,2020.0,1930643332.0,2020-03-13,2020-03-28,2020-03-13,NAH4,not equal,10688.104
10670,U001,0200148860,DOLLA corporation,,2020.0,1930686794.0,2020-03-24,2020-04-08,2020-03-24,NAA8,not equal,45442.473999999995
10671,U001,0200769623,WAL-MAR associates,,2020.0,1930713191.0,2020-03-29,2020-04-13,2020-03-29,NAH4,not equal,21599.746
10672,U001,0200769623,WAL-MAR llc,,2020.0,1930700639.0,2020-03-26,2020-04-10,2020-03-26,NAH4,not equal,24556.097999999998
10675,U001,0200729942,SA trust,,2020.0,1930830256.0,2020-04-27,2020-05-12,2020-04-27,NAA8,equal,12079.164999999999
10678,U001,0200775094,SAVE M associates,,2020.0,1930630645.0,2020-03-10,2020-03-25,2020-03-10,NAA8,equal,50702.379
10680,U001,0200769623,WAL-MAR corporation,,2020.0,1930619786.0,2020-03-07,2020-03-22,2020-03-07,NAH4,equal,29143.856
10683,U001,0200744019,TARG in,,2020.0,1930725079.0,2020-04-01,2020-04-16,2020-04-01,NAA8,not equal,5407.514
10685,U001,0200769623,WAL-MAR corporation,,2020.0,1930860004.0,2020-05-05,2020-05-20,2020-05-05,NAH4,equal,6264.79
10693,U001,0200769623,WAL-MAR co,,2020.0,1930710113.0,2020-03-28,2020-04-12,2020-03-28,NAH4,not equal,52934.441
10696,U001,0200769623,WAL-MAR ,,2020.0,1930698817.0,2020-03-27,2020-04-11,2020-03-27,NAH4,not equal,12945.016
10697,U001,0200418007,AM us,,2020.0,1930752249.0,2020-04-06,2020-06-10,2020-04-06,NAGD,equal,1235.808
10698,U001,0200704858,WAKE associates,,2020.0,1930727340.0,2020-04-01,2020-04-16,2020-04-01,NAA8,not equal,6445.0960000000005
10710,U001,0200771157,WEIS in,,2020.0,1930758186.0,2020-04-07,2020-04-22,2020-04-07,NAA8,equal,41762.63
10711,U001,0200769623,WAL-MAR foundation,,2020.0,1930580965.0,2020-02-28,2020-03-14,2020-02-28,NAH4,equal,11310.334
10717,U001,0200418007,AM us,,2020.0,1930776648.0,2020-04-15,2020-04-30,2020-04-15,NAA8,not equal,508.102
10718,U001,0200704045,RA trust,,2020.0,1930598322.0,2020-03-03,2020-03-18,2020-03-03,NAA8,not equal,3805.8859999999995
10719,U001,0200762301,C&S WH corporation,,2020.0,1930760242.0,2020-04-08,2020-04-23,2020-04-08,NAC6,not equal,51111.97
10722,U001,0200132251,SUPERB foundation,,2020.0,1930759321.0,2020-04-12,2020-04-27,2020-04-12,NAA8,not equal,1855.6649999999997
10727,U001,0200875006,KROGER trust,,2020.0,1930577733.0,2020-02-27,2020-03-13,2020-02-27,NAA8,equal,72182.656
10728,U001,0200138417,K&K  systems,,2020.0,1930565149.0,2020-02-29,2020-05-04,2020-02-29,NAGD,not equal,216.783
10731,U001,0200793568,SUPE systems,,2020.0,1930717355.0,2020-03-30,2020-04-14,2020-03-30,NAA8,not equal,114879.954
10733,CA02,140104409,LOB trust,,2020.0,2960624280.0,2020-03-25,2020-04-04,2020-03-25,CA10,not equal,17627.904
10739,U001,0200725421,BEN  co,,2020.0,1930859728.0,2020-05-07,2020-05-22,2020-05-07,NAA8,not equal,17560.829999999998
10762,U001,200936373,SUPE associates,,2020.0,1930852225.0,2020-05-05,2020-05-20,2020-05-05,NAA8,not equal,60279.954
10765,U001,0200772595,SAFEW co,,2020.0,1930784770.0,2020-04-14,2020-04-29,2020-04-14,NAA8,equal,32876.522
10772,U001,200769623,WAL-MAR ,,2020.0,1930879546.0,2020-05-10,2020-05-25,2020-05-10,NAH4,not equal,18473.315
10773,U001,0200353024,DECA trust,,2020.0,1930606737.0,2020-03-05,2020-03-24,2020-03-01,NAM4,not equal,37.8
10784,U001,0200759878,SA foundation,,2020.0,1930830188.0,2020-04-29,2020-05-14,2020-04-29,NAH4,not equal,44007.551
10794,U001,0200714601,HOGG  corp,,2020.0,1930747484.0,2020-04-04,2020-05-06,2020-04-04,NA32,equal,10646.202
10811,U001,0200769623,WAL-MAR associates,,2020.0,1930642928.0,2020-03-14,2020-03-29,2020-03-14,NAH4,not equal,12573.770999999999
10816,U001,0200795490,HY -  llc,,2020.0,1930642779.0,2020-03-12,2020-03-27,2020-03-12,NAA8,equal,62684.49599999999
10817,U001,0200726979,BJ'S  co,,2020.0,1930645932.0,2020-03-12,2020-03-27,2020-03-12,NAA8,equal,38.647
10841,U001,0200126819,MCLANE associates,,2020.0,1930705684.0,2020-03-28,2020-04-12,2020-03-28,NAA8,not equal,8649.648
10842,U001,0200769623,WAL-MAR in,,2020.0,1930775773.0,2020-04-11,2020-04-26,2020-04-11,NAH4,equal,7830.571
10844,U001,0200761734,H E BUT systems,,2020.0,1930652334.0,2020-03-18,2020-04-02,2020-03-18,NAA8,not equal,10407.599999999999
10845,U001,0200759878,SA ,,2020.0,1930692362.0,2020-03-25,2020-04-09,2020-03-25,NAH4,not equal,21406.931
10863,U001,0200592182,DECA foundation,,2020.0,1930809805.0,2020-04-21,2020-05-09,2020-04-16,NAM4,not equal,12458.516
10870,U001,0200769623,WAL-MAR in,,2020.0,1930799125.0,2020-04-17,2020-05-02,2020-04-17,NAH4,equal,3921.169
10872,U001,200769623,WAL-MAR corporation,,2020.0,1930682396.0,2020-03-23,2020-04-07,2020-03-23,NAH4,not equal,25174.344999999998
10879,U001,200769623,WAL-MAR in,,2020.0,1930882696.0,2020-05-10,2020-05-25,2020-05-10,NAH4,not equal,4823.105
10884,CA02,0140104440,SO associates,,2020.0,2960628794.0,2020-04-19,2020-05-01,2020-04-21,CA10,not equal,107678.907
10885,U001,0200769623,WAL-MAR corporation,,2020.0,1930597345.0,2020-03-04,2020-03-19,2020-03-04,NAH4,equal,2901.6890000000003
10892,U001,0200769623,WAL-MAR systems,,2020.0,1930652461.0,2020-03-16,2020-03-31,2020-03-16,NAH4,not equal,4572.82
10899,CA02,0140106408,WAL-M us,,2020.0,2960630467.0,2020-04-25,2020-05-06,2020-04-26,CA10,not equal,54659.38799999999
10903,U001,200704858,WAKE us,,2020.0,1930858371.0,2020-05-06,2020-05-21,2020-05-06,NAA8,not equal,32242.993999999995
10910,U001,0200762301,C&S WH corp,,2020.0,1930714972.0,2020-03-28,2020-04-12,2020-03-28,NAC6,equal,65929.647
10911,U001,0200793122,PIGGLY associates,,2020.0,1930800450.0,2020-04-20,2020-05-05,2020-04-20,NAA8,not equal,17369.226
10913,U001,0200769623,WAL-MAR llc,,2020.0,1930808613.0,2020-04-21,2020-05-06,2020-04-21,NAH4,equal,1899.135
10940,U001,0200756072,REINHA corporation,,2020.0,1930688867.0,2020-03-25,2020-04-09,2020-03-25,NAA8,not equal,26957.301
10947,U001,0200759878,SA corporation,,2020.0,1930787628.0,2020-04-02,2020-05-17,2020-04-02,NAWP,not equal,76454.672
10954,U001,0200769623,WAL-MAR trust,,2020.0,1930570932.0,2020-02-28,2020-03-14,2020-02-28,NAH4,not equal,31274.991999999995
10957,U001,0200705372,FR corporation,,2020.0,1930688324.0,2020-03-25,2020-04-09,2020-03-25,NAA8,not equal,56644.0
10965,U001,0200900212,CASEY foundation,,2020.0,1930639645.0,2020-03-11,2020-03-26,2020-03-11,NAA8,equal,18859.253
10976,U001,0200756072,REINHA in,,2020.0,1930715562.0,2020-03-30,2020-04-14,2020-03-30,NAA8,not equal,18428.256
10984,U001,0200769623,WAL-MAR in,,2020.0,1930622723.0,2020-03-08,2020-03-23,2020-03-08,NAH4,equal,19138.287
10997,U001,0200769623,WAL-MAR ,,2020.0,1930843657.0,2020-05-01,2020-05-16,2020-05-01,NAH4,not equal,9669.268
11003,U001,0100021540,MASTER corporation,,2020.0,1930728993.0,2020-04-02,2020-04-12,2020-04-02,NA10,equal,58719.108
11004,U001,0200794332,COST associates,,2020.0,1930652562.0,2020-03-18,2020-04-02,2020-03-18,NAAX,not equal,3394.839
11005,U001,0200726979,BJ'S  us,,2020.0,1930685180.0,2020-03-22,2020-04-06,2020-03-22,NAA8,equal,311.05899999999997
11012,U001,0200148860,DOLLA co,,2020.0,1930645651.0,2020-03-14,2020-03-29,2020-03-14,NAA8,not equal,11278.631
11020,U001,0200769623,WAL-MAR associates,,2020.0,1930646679.0,2020-03-13,2020-03-28,2020-03-13,NAH4,equal,12428.15
11025,U001,0200769623,WAL-MAR llc,,2020.0,1930724891.0,2020-04-01,2020-04-16,2020-04-01,NAH4,not equal,418.621
11032,U001,0200769623,WAL-MAR co,,2020.0,1930732624.0,2020-04-04,2020-04-19,2020-04-04,NAH4,not equal,3140.389
11038,U001,0200769623,WAL-MAR corporation,,2020.0,1930823107.0,2020-04-25,2020-05-10,2020-04-25,NAH4,not equal,19502.518
11040,U001,0200230690,DECA trust,,2020.0,1930623943.0,2020-03-09,2020-03-24,2020-03-01,NAM4,not equal,912.6179999999999
11042,U001,0200705742,DOT ,,2020.0,1930587196.0,2020-03-02,2020-04-03,2020-03-02,NA32,equal,53352.719
11048,U001,0200769623,WAL-MAR corp,,2020.0,1930594541.0,2020-03-04,2020-03-19,2020-03-04,NAH4,not equal,1925.0979999999997
11049,U001,0200769623,WAL-MAR ,,2020.0,1930819885.0,2020-04-25,2020-05-10,2020-04-25,NAH4,not equal,16485.615999999998
11056,U001,200769623,WAL-MAR corp,,2020.0,1930717751.0,2020-03-29,2020-04-13,2020-03-29,NAH4,equal,29562.987999999994
11064,U001,0200555117,BURR co,,2020.0,1930682640.0,2020-03-22,2020-04-06,2020-03-22,NAA8,not equal,48869.064999999995
11073,U013,100055606,ALVARE co,,2020.0,1991842067.0,2020-04-20,2020-05-20,2020-04-20,NAVE,not equal,15374.519999999999
11080,CA02,140106408,WAL-M trust,,2020.0,2960627861.0,2020-04-10,2020-04-21,2020-04-11,CA10,not equal,13875.904
11082,U001,0200789896,RIVER  llc,,2020.0,1930765682.0,2020-04-08,2020-04-23,2020-04-08,NAA8,equal,13672.701
11083,U001,0200974851,RESTA associates,,2020.0,1930646122.0,2020-03-12,2020-04-01,2020-03-12,NAD1,equal,1573.474
11087,CA02,0140106181,THE  ,,2020.0,2960631522.0,2020-05-01,2020-05-11,2020-05-01,CA10,equal,13417.131000000001
11094,U001,0200769623,WAL-MAR foundation,,2020.0,1930713413.0,2020-03-28,2020-04-12,2020-03-28,NAH4,not equal,1394.2879999999998
11098,U001,0200759878,SA ,,2020.0,1930732795.0,2020-04-04,2020-04-19,2020-04-04,NAH4,not equal,9194.92
11100,U001,200729290,KROGER corporation,,2020.0,1930850650.0,2020-05-01,2020-05-16,2020-05-01,NAA8,not equal,28058.267999999996
11106,U001,0200726979,BJ'S  corp,,2020.0,1930706294.0,2020-03-27,2020-04-11,2020-03-27,NAA8,not equal,154.88199999999998
11110,U001,0200763814,SYSCO F in,,2020.0,1930772224.0,2020-04-09,2020-04-24,2020-04-09,NAA8,equal,881.3349999999999
11114,U001,0200794332,COST corp,,2020.0,1930817913.0,2020-04-24,2020-05-09,2020-04-24,NAAX,not equal,22737.316
